[2024-06-05T21:06:13.588995+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-05T21:06:17.884881+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-05T21:06:21.846533+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:5 [] []
[2024-06-05T21:09:11.854466+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:5 [] []
[2024-06-05T21:09:16.178093+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:3 [] []
[2024-06-05T21:19:36.165658+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-05T21:22:03.640396+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-10T10:28:14.480143+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-10T10:30:15.036476+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-10T10:31:54.243106+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-10T10:45:20.868281+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-10T10:56:39.191229+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-10T10:57:20.913882+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-10T10:58:48.027656+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-10T10:59:45.986271+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-10T11:01:18.616268+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-10T11:02:43.635260+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:1 [] []
[2024-06-10T11:03:21.975677+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-10T11:12:42.470844+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:index, Params: [] []
[2024-06-13T16:40:15.823110+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:3 [] []
[2024-06-13T17:27:17.966061+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:3 [] []
[2024-06-13T17:41:53.998463+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:3 [] []
[2024-06-13T17:42:56.970236+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:3 [] []
[2024-06-13T17:47:31.688535+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:3 [] []
[2024-06-13T17:52:26.235911+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:3 [] []
[2024-06-13T17:58:19.182857+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:2 [] []
[2024-06-13T17:58:51.600809+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:2 [] []
[2024-06-13T18:01:26.113992+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:show, Params:2 [] []
[2024-06-13T18:02:03.700465+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:2 [] []
[2024-06-13T18:06:45.817535+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:2 [] []
[2024-06-13T18:08:19.534429+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:2 [] []
[2024-06-13T18:08:54.710211+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:show, Params:2 [] []
[2024-06-13T18:10:00.074261+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-13T18:10:25.208904+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T12:21:15.570884+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T13:20:08.284900+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:register, Params: [] []
[2024-06-17T13:20:32.172202+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:register, Params: [] []
[2024-06-17T13:59:15.984653+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:register, Params: [] []
[2024-06-17T13:59:35.608836+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:register, Params: [] []
[2024-06-17T14:00:56.031262+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:auth, Params: [] []
